city,ft,bt,km,transmission,ownerNo,oem,model,modelYear,variantName,price,Registration Year,Insurance Validity,Seats,Engine Displacement
Kolkata,Petrol,Hatchback,10000,Manual,1,Tata,Tata Altroz,2020,XZ BSVI,725000,2020,Third Party,5,1199
Kolkata,Diesel,Sedan,67000,Manual,1,Skoda,Skoda Laura,2012,Elegance 2.0 TDI CR MT,340000,2012,Third Party,5,1968
Kolkata,Petrol,Hatchback,10000,Manual,1,Tata,Tata Altroz,2020,XZ BSVI,735000,2020,Third Party,5,1199
Kolkata,Diesel,SUV,50000,Manual,1,Hyundai,Hyundai Creta,2018,1.6 CRDi SX Option,1200000,2018,Third Party,5,1582
Kolkata,Petrol,Hatchback,60000,Manual,3,Maruti,Maruti Zen Estilo,2011,LXI,145000,2011,Third Party,5,998
Kolkata,Petrol,Hatchback,60000,Manual,3,Maruti,Maruti Celerio,2017,ZXI,350000,2017,Third Party,5,998
Kolkata,Diesel,SUV,34000,Automatic,1,Audi,Audi Q5,2014,2.0 TDI Premium Plus,1950000,2014,Comprehensive,5,1968
Kolkata,Petrol,Hatchback,60000,Manual,1,Maruti,Maruti A-Star,2012,Vxi,300000,2012,Third Party,5,998
Kolkata,Diesel,MUV,152000,Manual,1,Toyota,Toyota Innova,2014,2.5 G (Diesel) 7 Seater BS IV,695000,2014,Comprehensive,7,2494
Kolkata,Diesel,SUV,45000,Automatic,1,Land Rover,Land Rover Range Rover Sport,2014,3.0 D HSE Dynamic Black,5600000,2014,Third Party,5,3993
Kolkata,Petrol,Sedan,56766,Manual,3,Toyota,Toyota Corolla Altis,2013,1.8 J,399000,2013,Third Party,5,1798
Kolkata,Diesel,SUV,7114,Automatic,1,Tata,Tata New Safari,2022,XZA Plus 6 Str AT BSVI,2109000,2022,Third Party,6,1956
Kolkata,Diesel,SUV,25508,Automatic,1,Tata,Tata New Safari,2021,XZA Plus 6 Str AT BSVI,2000000,2021,Comprehensive,6,1956
Kolkata,Petrol,Hatchback,39369,Manual,1,Maruti,Maruti Wagon R,2012,LXI BS IV,217000,2012,Comprehensive,5,998
Kolkata,Diesel,SUV,96707,Manual,1,Mahindra,Mahindra XUV500,2018,W5,886000,2018,Comprehensive,7,2179
Kolkata,Petrol,Hatchback,50000,Manual,1,Hyundai,Hyundai i20 Active,2016,1.2 SX,550000,2016,Third Party,5,1197
Kolkata,Petrol,Hatchback,30345,Manual,1,Renault,Renault KWID,2019,RXL,327000,2019,Third Party,5,799
Kolkata,Diesel,SUV,128232,Automatic,1,Toyota,Toyota Fortuner,2016,4x2 AT,1775000,2016,Comprehensive,7,2982
Kolkata,Petrol,SUV,54018,Manual,1,Honda,Honda WR-V,2017,i-VTEC S,487000,2017,Third Party,5,1199
Kolkata,Diesel,Sedan,32007,Manual,1,Hyundai,Hyundai Verna,2016,1.6 CRDi SX,612000,2016,Zero Dep,5,1582
Kolkata,Petrol,Hatchback,100000,Manual,1,Hyundai,Hyundai i10,2015,Sportz 1.1L,310000,2015,Third Party,5,1086
Kolkata,Petrol,Hatchback,30000,Manual,2,Hyundai,Hyundai Santro Xing,2014,GL Plus,245000,2014,Third Party,5,1086
Kolkata,Diesel,Sedan,66452,Automatic,1,Volvo,Volvo S60 Cross Country,2018,D4 AWD BSIV,1980000,2018,Comprehensive,5,2400
Kolkata,Diesel,SUV,38706,Automatic,1,Volvo,Volvo XC60,2021,D5 Inscription,4500000,2021,Comprehensive,5,2400
Kolkata,Petrol,Sedan,80000,Manual,1,Honda,Honda City,2018,i-VTEC S,650000,2018,Third Party,5,1497
Kolkata,Petrol,Sedan,60000,Manual,1,Hyundai,Hyundai Verna,2015,1.6 VTVT S,750000,2015,Third Party,5,1591
Kolkata,Petrol,Hatchback,120000,Manual,1,Hyundai,Hyundai i20 Active,2016,Base Petrol,500000,2016,Third Party,5,1197
Kolkata,Diesel,MUV,150000,Manual,2,Chevrolet,Chevrolet Tavera,2012,LS B3 - 10 seats BSIII,720000,2012,Third Party,10,2499
Kolkata,Diesel,Sedan,19000,Manual,1,Honda,Honda City,2017,i DTec VX,790000,2017,Third Party,5,1498
Kolkata,Diesel,MUV,260000,Manual,1,Toyota,Toyota Innova,2012,2.5 VX 7 STR BSIV,645000,2012,Comprehensive,7,2494
Kolkata,Petrol,Sedan,71552,Manual,1,Honda,Honda City,2014,i VTEC VX,403000,2014,Comprehensive,5,1497
Kolkata,Petrol,Hatchback,65039,Manual,2,Hyundai,Hyundai Grand i10,2015,Sportz,301000,2015,Third Party,5,1197
Kolkata,Petrol,Hatchback,60000,Manual,2,Hyundai,Hyundai Santro Xing,2007,GLS,40000,2007,Third Party,5,1086
Kolkata,Petrol,Hatchback,73578,Manual,1,Renault,Renault KWID,2019,1.0 RXT Optional,359000,2019,Zero Dep,5,999
Kolkata,Petrol,Hatchback,27160,Automatic,1,Hyundai,Hyundai Santro,2021,Sportz AMT,511000,2021,Third Party,5,1086
Kolkata,Petrol,Hatchback,36000,Manual,1,Hyundai,Hyundai i20,2017,1.2 Era,425000,2017,Comprehensive,5,1197
Kolkata,Petrol,Hatchback,84367,Manual,1,Hyundai,Hyundai Grand i10,2014,Sportz,277000,2014,Comprehensive,5,1197
Kolkata,Petrol,MUV,32599,Manual,1,Maruti,Maruti Ertiga,2019,VXI,750000,2019,Third Party,7,1462
Kolkata,Petrol,SUV,47530,Manual,1,Renault,Renault Duster,2017,Petrol RxL,551000,2017,Third Party,5,1598
Kolkata,Petrol,Hatchback,35457,Manual,1,Honda,Honda Brio,2014,S MT,254000,2014,Comprehensive,5,1198
Kolkata,Petrol,SUV,28134,Automatic,1,Kia,Kia Seltos,2020,HTX IVT,1275000,2020,Comprehensive,5,1497
Kolkata,Petrol,SUV,5000,Automatic,0,Mahindra,Mahindra XUV300,2022,W8 Option AMT BSVI,1320000,2022,Comprehensive,5,1197
Kolkata,Petrol,Hatchback,28000,Automatic,1,Hyundai,Hyundai i10,2011,Sportz AT,270000,2011,Comprehensive,5,1197
Kolkata,Diesel,SUV,20000,Automatic,1,Jeep,Jeep Compass Trailhawk,2023,2.0 4X4,2000000,2023,Third Party,5,1998
Kolkata,Petrol,SUV,33582,Automatic,2,Land Rover,Land Rover Range Rover Velar,2020,P250,7900000,2020,Comprehensive,5,1997
Kolkata,Petrol,Hatchback,46005,Manual,1,Hyundai,Hyundai i10,2014,Sportz,254999,2014,Comprehensive,5,1197
Kolkata,Diesel,SUV,2565,Automatic,1,MG,MG Gloster,2021,Savvy 6-Str,3450000,2021,Comprehensive,6,1996
Kolkata,Petrol,Hatchback,28000,Automatic,1,Maruti,Maruti Swift,2018,AMT ZXI Plus BSIV,535000,2018,Comprehensive,5,1197
Kolkata,Petrol,Hatchback,32000,Automatic,1,Honda,Honda Jazz,2015,V CVT,440000,2015,Comprehensive,5,1199
Kolkata,Petrol,Sedan,45000,Manual,1,Maruti,Maruti Swift Dzire,2009,VXi,225000,9,Comprehensive,5,1298
Kolkata,Diesel,SUV,78565,Manual,1,Mahindra,Mahindra XUV500,2019,W11 Option BSIV,1295000,2019,Comprehensive,7,2179
Kolkata,Petrol,SUV,10197,Automatic,1,MG,MG Hector,2022,Sharp CVT,1792000,2022,Third Party,5,1451
Kolkata,Petrol,Hatchback,60000,Manual,2,Hyundai,Hyundai EON,2014,D Lite Plus,180000,2014,Third Party,5,814
Kolkata,Petrol,Sedan,32844,Manual,1,Honda,Honda City,2017,i VTEC V,602000,2017,Comprehensive,5,1497
Kolkata,Cng,Hatchback,5198,Manual,1,Tata,Tata Tiago,2022,XZ Plus CNG BSVI,743000,2022,Comprehensive,5,1199
Kolkata,Petrol,Hatchback,40000,Manual,1,Hyundai,Hyundai i20,2013,Sportz 1.2,335000,2013,Comprehensive,5,1197
Kolkata,Petrol,Sedan,19355,Automatic,1,Skoda,Skoda Rapid,2019,1.6 MPI AT Ambition BSIV,750000,2019,Comprehensive,5,1598
Kolkata,Petrol,Sedan,60000,Manual,1,Maruti,Maruti Swift Dzire,2010,VXi,240000,2010,Third Party,5,1298
Kolkata,Petrol,Hatchback,31197,Manual,1,Maruti,Maruti Wagon R,2019,VXI,474000,2019,Third Party,5,998
Kolkata,Petrol,Hatchback,6651,Manual,1,Datsun,Datsun RediGO,2021,1.0 T Option,346000,2021,Third Party,5,999
Kolkata,Petrol,Hatchback,60000,Manual,3,Chevrolet,Chevrolet Spark,2009,1.0 LS,70000,2009,Third Party,5,995
Kolkata,Petrol,SUV,35000,Manual,1,Honda,Honda BR-V,2018,i-VTEC V MT,745000,2018,Comprehensive,7,1497
Kolkata,Petrol,Sedan,57000,Manual,1,Honda,Honda City,2013,S,335000,2013,Comprehensive,5,1497
Kolkata,Petrol,Sedan,50469,Automatic,1,Honda,Honda City,2016,i VTEC CVT VX,550000,2016,Third Party,5,1497
Kolkata,Petrol,Hatchback,32000,Manual,1,Maruti,Maruti Swift,2018,VVT VXI,524000,2018,Comprehensive,5,1197
Kolkata,Petrol,Sedan,36000,Automatic,1,Toyota,Toyota Corolla Altis,2016,1.8 G CVT,850000,2016,Comprehensive,5,1798
Kolkata,Petrol,Hatchback,30000,Manual,1,Datsun,Datsun RediGO,2018,T Option,210000,2018,Third Party,5,799
